Escenario,Falla,Generador,barra,tipo,Cvar,Pmin,Pmax,Pmax_eff,PG_0,RES_UP,PG_S,DPG
m2-d19-h18,multiple PV zona norte sing,COCHRANE_2,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,75.9,151.0,75.9,0.0
m2-d19-h18,multiple Wind zona iv region,COCHRANE_2,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,75.9,151.0,226.9,151.0
m2-d19-h18,multiple PV zona norte chico,CenLos_Vilos_Diesel,Los_Vilos,diesel,195.5258888,0,257.2,257.2,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte del sic,CenLos_Vilos_Diesel,Los_Vilos,diesel,195.5258888,0,257.2,257.2,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona norte sic,CenLos_Vilos_Diesel,Los_Vilos,diesel,195.5258888,0,257.2,257.2,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona sing centro,CenLos_Vilos_Diesel,Los_Vilos,diesel,195.5258888,0,257.2,257.2,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona sur,CenLos_Vilos_Diesel,Los_Vilos,diesel,195.5258888,0,257.2,257.2,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona viii region,CenLos_Vilos_Diesel,Los_Vilos,diesel,195.5258888,0,257.2,257.2,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona sur centro sing,CenLos_Vilos_Diesel,Los_Vilos,diesel,195.5258888,0,257.2,257.2,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona centro,CenLos_Vilos_Diesel,Los_Vilos,diesel,195.5258888,0,257.2,257.2,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte sing,CenLos_Vilos_Diesel,Los_Vilos,diesel,195.5258888,0,257.2,257.2,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona iv region,CenLos_Vilos_Diesel,Los_Vilos,diesel,195.5258888,0,257.2,257.2,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte chico,Proy_Wind_Paposo_3,Paposo,Eolico,7,0,2501,2501,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte del sic,Proy_Wind_Paposo_3,Paposo,Eolico,7,0,2501,2501,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona norte sic,Proy_Wind_Paposo_3,Paposo,Eolico,7,0,2501,2501,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona sing centro,Proy_Wind_Paposo_3,Paposo,Eolico,7,0,2501,2501,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona sur,Proy_Wind_Paposo_3,Paposo,Eolico,7,0,2501,2501,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona viii region,Proy_Wind_Paposo_3,Paposo,Eolico,7,0,2501,2501,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona sur centro sing,Proy_Wind_Paposo_3,Paposo,Eolico,7,0,2501,2501,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona centro,Proy_Wind_Paposo_3,Paposo,Eolico,7,0,2501,2501,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte sing,Proy_Wind_Paposo_3,Paposo,Eolico,7,0,2501,2501,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona iv region,Proy_Wind_Paposo_3,Paposo,Eolico,7,0,2501,2501,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte chico,CenCharrua_Biomass_1,Charrua,biomass,26.54,0,220.2,220.2,220.2,0.0,220.2,0.0
m2-d19-h18,multiple PV zona norte del sic,CenCharrua_Biomass_1,Charrua,biomass,26.54,0,220.2,220.2,220.2,0.0,220.2,0.0
m2-d19-h18,multiple Wind zona norte sic,CenCharrua_Biomass_1,Charrua,biomass,26.54,0,220.2,220.2,220.2,0.0,220.2,0.0
m2-d19-h18,multiple Wind zona sing centro,CenCharrua_Biomass_1,Charrua,biomass,26.54,0,220.2,220.2,220.2,0.0,220.2,0.0
m2-d19-h18,multiple Wind zona sur,CenCharrua_Biomass_1,Charrua,biomass,26.54,0,220.2,220.2,220.2,0.0,220.2,0.0
m2-d19-h18,multiple Wind zona viii region,CenCharrua_Biomass_1,Charrua,biomass,26.54,0,220.2,220.2,220.2,0.0,220.2,0.0
m2-d19-h18,multiple PV zona sur centro sing,CenCharrua_Biomass_1,Charrua,biomass,26.54,0,220.2,220.2,220.2,0.0,220.2,0.0
m2-d19-h18,multiple PV zona centro,CenCharrua_Biomass_1,Charrua,biomass,26.54,0,220.2,220.2,220.2,0.0,220.2,0.0
m2-d19-h18,multiple PV zona norte sing,CenCharrua_Biomass_1,Charrua,biomass,26.54,0,220.2,220.2,220.2,0.0,220.2,0.0
m2-d19-h18,multiple Wind zona iv region,CenCharrua_Biomass_1,Charrua,biomass,26.54,0,220.2,220.2,220.2,0.0,220.2,0.0
m2-d19-h18,multiple PV zona norte chico,ex_PV_Polpaico,Polpaico,Solar,0,0,327.5,88.5999999525,88.6,0.0,88.6,0.0
m2-d19-h18,multiple PV zona norte del sic,ex_PV_Polpaico,Polpaico,Solar,0,0,327.5,88.5999999525,88.6,0.0,88.6,0.0
m2-d19-h18,multiple Wind zona norte sic,ex_PV_Polpaico,Polpaico,Solar,0,0,327.5,88.5999999525,88.6,0.0,88.6,0.0
m2-d19-h18,multiple Wind zona sing centro,ex_PV_Polpaico,Polpaico,Solar,0,0,327.5,88.5999999525,88.6,0.0,88.6,0.0
m2-d19-h18,multiple Wind zona sur,ex_PV_Polpaico,Polpaico,Solar,0,0,327.5,88.5999999525,88.6,0.0,88.6,0.0
m2-d19-h18,multiple Wind zona viii region,ex_PV_Polpaico,Polpaico,Solar,0,0,327.5,88.5999999525,88.6,0.0,88.6,0.0
m2-d19-h18,multiple PV zona sur centro sing,ex_PV_Polpaico,Polpaico,Solar,0,0,327.5,88.5999999525,88.6,0.0,88.6,0.0
m2-d19-h18,multiple PV zona centro,ex_PV_Polpaico,Polpaico,Solar,0,0,327.5,88.5999999525,88.6,0.0,17.72,-70.88
m2-d19-h18,multiple PV zona norte sing,ex_PV_Polpaico,Polpaico,Solar,0,0,327.5,88.5999999525,88.6,0.0,88.6,0.0
m2-d19-h18,multiple Wind zona iv region,ex_PV_Polpaico,Polpaico,Solar,0,0,327.5,88.5999999525,88.6,0.0,88.6,0.0
m2-d19-h18,multiple PV zona norte chico,SanIgnacio,Itahue,Serie,0,0,36,1.100000016,1.1,0.0,1.1,0.0
m2-d19-h18,multiple PV zona norte del sic,SanIgnacio,Itahue,Serie,0,0,36,1.100000016,1.1,0.0,1.1,0.0
m2-d19-h18,multiple Wind zona norte sic,SanIgnacio,Itahue,Serie,0,0,36,1.100000016,1.1,0.0,1.1,0.0
m2-d19-h18,multiple Wind zona sing centro,SanIgnacio,Itahue,Serie,0,0,36,1.100000016,1.1,0.0,1.1,0.0
m2-d19-h18,multiple Wind zona sur,SanIgnacio,Itahue,Serie,0,0,36,1.100000016,1.1,0.0,1.1,0.0
m2-d19-h18,multiple Wind zona viii region,SanIgnacio,Itahue,Serie,0,0,36,1.100000016,1.1,0.0,1.1,0.0
m2-d19-h18,multiple PV zona sur centro sing,SanIgnacio,Itahue,Serie,0,0,36,1.100000016,1.1,0.0,1.1,0.0
m2-d19-h18,multiple PV zona centro,SanIgnacio,Itahue,Serie,0,0,36,1.100000016,1.1,0.0,1.1,0.0
m2-d19-h18,multiple PV zona norte sing,SanIgnacio,Itahue,Serie,0,0,36,1.100000016,1.1,0.0,1.1,0.0
m2-d19-h18,multiple Wind zona iv region,SanIgnacio,Itahue,Serie,0,0,36,1.100000016,1.1,0.0,1.1,0.0
m2-d19-h18,multiple PV zona norte chico,Proy_Wind_Pichirropulli_131,Pichirropulli,Eolico,7,0,1396,1396,0.0,0.0,0.0,0.0
